"Account Name","Opportunity Name","Close Date","Created Date","Lead Source","Notes"
"PERFORMANCE PRODUCTS WAREHOUSE INC.","PERFORMANCE PRODUCTS WAREHOUSE INC. - Bench + Lite","22/08/2022","16/08/2022","High Potential Trials","Meeting booked for 8/17 @ 10:45am

-Kelly has another system for billing that they are not currently interested in changing
-Ideal Bench candidate, wants someone to take care of all the reconciliation for her
-Would want to do YTD historical
-Bookkeeping/accounting is main priority now so FB usage may be minimal to start"
"Axis Research, Inc.","Axis Research, Inc. - Bench Essential Annual + 18 Mo. CU","19/08/2022","17/08/2022","B2C Marketing","08.17.2022
Spoke to David who is looking to change his BKK system.  He does most of the BKK along with an accountant but he is behind and does not look forward to doing it himself.
Call set for Aug 19th at 9am CTL

08.19.2022
David is moving ahead with Bench and is paying upfront the following;c) Prepaid (1 yr Commitment) - $249/mo ($2,988 up front) BEST VALUE
Historical Bookkeeping - $299/mo
2021: 12 months x $358.8 = $4305.6
2022: Jan - June x $299 = $1,794
July Free
Total to bill today is $9087.60"
"Briggs Builders Inc.","Briggs Builders Inc. - Bench Essentials","19/08/2022","10/08/2022","High Potential Trials","additional notes/recordings in Select opp - Kiillees books are a mess from QB. her mom is a CPA and the alternative to bench would be them trying to sift through it. with the partner discount, she has decided to move forward with bench monthly payments."
"PCM Internet Technologies Corp","PCM Internet Technologies Corp - Bench Premium + 18 Months Catchup","18/08/2022","16/08/2022","B2C Marketing","Previous lost lead from Bench for Bench not fitting his needs, used accrual based accounting 
Peter expressed interest in Bench again
Wants to get all of 2021 books caught up - not looking for on going

Meeting booked with Alisson from Bench for Wednesday 5:30 PM ET

Has a second business that may need it too

Moving forward with Bench Premium + 18 months catchup , Alison was able to close him for ongoing and replace his current CPA

This is the breakdown: 
Historical Bookkeeping - $299/mo
18 months x $299 = $5,382
30% off = $3,767.40
18 months = 209.30/m

ONGOING = $399.20/m for 6 months then $499"
"Sophisticated  Setups and Cleaning","Sophisticated  Setups and Cleaning - Select + Bench","15/08/2022","10/08/2022","High Potential Trials","3 years doesn?t have a ton of time for admin work, wanting it for invoicing, she has 6 employees with no accounting, she is doing all the bookkeeping herself and she is part of a franchise so she needs to file expenses and such with them as well."
"EP&E Consulting LLC D/B/A Triciaped","EP&E Consulting LLC D/B/A Triciaped - Bench Essentials (Potentially annual)","11/08/2022","03/08/2022","B2C Marketing","Patricia is currently searching for a new bookkeeping solution for her b business. She previously had a bookkeeper on her team, but due to workflow differences, parted ways. 

Meeting is booked with Ryan on Wendesday, August 10th at 12:30PM EST."
"Athena Wealth Management","Athena Wealth Management - Bench Essential + 6 Months Catchup","10/08/2022","03/08/2022","FreshBooks Trialers","Inbound support lead 08/03/2022
Spoke with Roland about his bkk process and established a need
Solid lead, needs help with freshbooks and Bkk: potential select
Meeting booked with Mackenzie W Bench call 08/04/2022
Second call, financial breakdown booked for 08/08/2022

Second call done and quote handed to customer, now will make a decision by EOD. 

Roland has agreed to the service as a pay as you go plan, the billing is as follows: 
First 6 Months - $279.20/month then $349/mo after the first 6
Historical Bookkeeping wanted from January 2022 - June 2022 = $1,794
divided into a three-month payment plan - an additional $598 a month for your first three months
August/September/October 2022 = $877.20
November/December 2022/January 2023= $279.20
After that 2023 - $349/m"
"LSR Commercial Cleaning Services","LSR Commercial Cleaning Services - Bench Essential AUG","10/08/2022","05/08/2022","B2C Marketing","Brett needs to get his books in order.  His CPA is telling him that he is not categorizing things correctly and his CPA will not do it for him.  Set up a meeting for 8/5/22 at 1:00 PM (PT) with Ryan Robinson


8/5/22 Bench meeting was a success.  We have a second meeting set up for 8/8/22 to finalize the decision.

8/8/22 Brett missed his meeting.  Called him a few times.  Bench rep also tried to get a hold of him to reschedule for Tuesday 8/9/22 9:30 AM (CT)

8/8/22 *** Update*** I spoke with Bret.  He could not make it today's meeting.  He was in an accident but tomorrow works out best for him as well. So meeting is confirmed with Ryan fro 8/9/22 at 9:30 (CT)

8/9/22 Bench meeting was completed.  The customer is still hesitant about moving forward.  Just needs one more day to think it over.  He set up the next steps by explaining he will make a decision tomorrow.  Ryan Robinson will give him a call at 10:00 AM (CT)

8/10/22 Bret is ok to move forward with Bench Essential will add on catch up later on.

This customer is moving forward with bench essential package with 20% off for the first 6 months"
"MJ DESIGNS MAUI, LLC","MJ DESIGNS MAUI, LLC - Bench","09/08/2022","21/07/2022","High Potential Trials","Kitchen Designer in Hawaii
2 Years in Business
Wants to take business seriously now, potentially wants Bookkeeping service
Average 6 Payment per week averaging $20k"
"Owner: Nikki Johnson","Owner: Nikki Johnson - Bench opp","09/08/2022","29/07/2022","B2C Marketing","Client is currently not able to manage her bookkeeping effectively. Is working manually to manage bookkeeping. Tax filing for 21 under extension. Meeting booked for July 29th.

Client wants to also evaluate Gusto for payroll. Will be connecting Gusto and Bench for the second call on August 1st.

Aug 4th: Client has agreed to take the 1 month trial. Working with Bench team to get started.
Aug 8th: meeting booked for Aug 9.
Aug 9th: Closed as follows- a)Monthly (Discount/1 yr Commitment)
i) First 6 Months - $239.20/mo
ii) then $299/mo ($3,229.20/yr)"
"Maite's Insurance Services","Maite's Insurance Services - Bench CU","04/08/2022","04/08/2022","","Purchasing $1050 of CU."
"Travis Marc Media LLC.","Travis Marc Media LLC. - Bench One time charge","04/08/2022","04/08/2022","B2C Marketing","Charging a one time fee of 199 to the client for taxfyle (not recurring)"
"Begotten Sounds LLC","Begotten Sounds LLC - Bench ESSENTIAL","03/08/2022","27/07/2022","B2C Marketing","Music Productions & Audio Engineering Company
-Awhile for QB but finds it complicated
-Moved to FB

-Some of his clients are one time off, some he works for a period of time
-Goes on tours as Audio Engineer

Daniel is using FreshBooks to keep track of his expenses. He goes on tours as an audio engineer and has a lot of expenses. He realized that he is unsure of where certain expenses should be and would need professional help.

His wife's CPA helped him out but he had to prepare all the miscellaneous documents/tax prep by himself.

Daniel has some questions about owner draws/certain expense categories. He is excited on how Bench can help his day-to-day expenses.

Booked a call with Mackenzie Aug 2nd at 11am EST.

Call went well. Daniel really likes Bench. Mackenzie did a thorough explanation of every single feature and how it will help him. Will be proceeding with Bench Essential."
"Fire Tech West LLC","Fire Tech West LLC - Bench S-corp Election","02/08/2022","02/08/2022","FreshBooks Trialers","Adding Bench S-corp election to account
$199 one time charge"
"Wolff Associates Inc","Wolff Associates Inc  - Bench Essentials","02/08/2022","05/07/2022","B2C Marketing","Spoke ot Jeff today about bookkeeping. His business is growing to a point where he wants to streamline the solution.

His budget was in/around 200/month, so I pitched him on an annual plan (224/month avg)

Call booked for Tuesday July 12th at 1PM with Mackenzie Welsch

Call rescheduled to July 18th at 3pm. Emailed last minute asking to reschedule. Pushing opp to next week 3pm

Connection call on July 25th at 3PM

Requested to change again to next week (He'll be on vacation and available to chat then)

Had the call with Ryan, gonna go in on Bench Essentials under an annual plan, along with 6 months of catch up."
"Elevation XR Inc.","Elevation XR Inc. - Bench Opp","30/07/2022","28/07/2022","B2C Marketing","Client was an existing user of Bench. Wants to reinitiate subscription. Paid 189 stopped using because of the price increase. Is creating a new business entity. Wants to be able to use Bench for bookkeeping and accounting.
The meeting is booked for July 29th.
Client is taking up Month on month plan for now at 279. Will be taking up 6 months catchup with one more account in August."
"RJ Maven LLC","RJ Maven LLC  -Bench-BKK + pro","29/07/2022","12/07/2022","Marketing","Rudo said they are in the middle of a move but would like to know the new rates a week after the move.  Told him I could lower his rates and save him money just to keep him on the line. Call back when Im back from Vacay to pitch Select 90  2.6/3.2 and claim 144k in TPV
7/13-Jameys not back in till Tuesday 7/19
7/25:Connected with Rudo who is in need of a new bookkeeping option. Set a Bench call and he likes the pricing after looking at the website. He would also like to speak more about Select and getting lower CC rates and all Select features. SUPER cool guy!
Bench Meeting set 7/28 @230EST
 Rudo - was happy with what he was told by Bench and would like to move forward with the Essential plan + Pro  servicesfirst KU month) = $319.20 for first 6 months then $399/month"
"Work Of Merit","Work Of Merit -Bench BKK","29/07/2022","27/07/2022","B2C Marketing","Graham would like to meet with Bench this Friday to discuss his options and see how things fit for him. He is aware of cost as well as it changing next month.
7/29: Discovery call went GREAT Graham would like to set up BEnch essential today to lock in lower monthly rate 299.
7/29:Billing should be as followed:
- Bench July 2022 -July 2023 $2,689.20 for the next 12 months ($224.10/m) + prorated Annual FB Subscription $1200.
total $3889.20"
"Apple Eyecare PC","Apple Eyecare PC -Plus 50/3 + user/ potential Bench (soft quote provided)","28/07/2022","21/07/2022","High Potential Trials","Great call with Spencer, he mentioned he and his partner run a optometrist clinic and he is doing most of the bookkeeping which can be super tedious I dug in deeper to uncover the pain and mentioned he does not like doing it I keep asking how it works with CPA currently has the CPA filing the taxes which means he has to do the books. Liked the idea of having someone take it from his hands and gave him a soft quote said to send him an email and will run it by his partner also mentioned will upgrade his FB account to get things going"
"Electric Contractor LLC.","Electric Contractor LLC. - Bench Premium $499","28/07/2022","25/07/2022","B2C Marketing","Spoke to Osniel and he is currently managing his payroll on his own on the platform. Has a lot on his plate and bookkeeping is not easing it for him. Spoke to him about Bench and the bookkeeping service they provide for FreshBooks users. I also mentioned the pricing and the pricing increase in Bench moving forward at the end of the month. We scheduled a call for Thursday July, 28 2022 w/ Ryan Robinson @ 11:30 am EST.

--

Premium
Bookkeeping, Tax Filing & Strategy, and Unlimited Advisory
Moving forward with the following: 
Monthly - $399.20/m for the first 6 months, then $499/m
Historical Bookkeeping - $299/m
Nov 2021 - May 22 - 7 months = $2093

DUE TODAY: $2,492.20"
"Kathryn Landis Consulting LLC","Kathryn Landis Consulting  "" - Bench","28/07/2022","24/05/2022","Inbound","discovery call booked for July 14th

call went well, need bank accounts connected, will then hopefully book pricing call for the week of july 25th

also considering a local bookkeeper as well.

has expressed more interest in moving forward with bench as they are a more professional service than the local solution she is considering

(update Jul 27): trial account has been set up. Financial walk through/closing call scheduled for July 28 @ 8:30am"
"HighMaintenance Trucking LLC","HighMaintenance Trucking LLC - Bench","26/07/2022","26/07/2022","B2C Marketing","Spoke to the owner of the business and they are interested in automating the BKK process from their current DIY method. 

-They are struggling to keep a track on monthly basis
-Want to know the health of the business 
-Great fit for Essential BKK

Booked a call with Ryan Robinson at 1445EST, JULY 26TH 2022.

The customer agreed on Bench Essential yearly $2,689.20 for the next 12 months ($224.10/m) 

Historical Bookkeeping - $299/m
$1,495 for Historical work Jan 2022 - May 2022"
"Large Technology Holdings LLC","Large Technology Holdings LLC - Bench","26/07/2022","22/07/2022","High Potential Trials","Bench meeting booked for 7/22 at 5:30pm EST

Update 7/25 - First call went well, Bench account created and accounts have been linked.  Second call is booked for 7/25 @ 6 PM EST"
"Atlas Alaska, LLC","Atlas Alaska LLC  ""Lite 50/12 and Bench with CU""","25/07/2022","12/07/2022","Drift","Lives in Alaska and all bookkeepers and accountants are really busy and charging too much for bookkeeping services..

$600 upfront and $150 an hour so around $600 a month

Had step daughter spend hours on youtube to learn how to do bookkeeping on QB but thinks it might be better to outsource it to a bookkeeper instead

Ran her through the value bench would bring and it being unlimited bookkeeping. Books are messy and might require at least 2 months of CU 

Shes scared of the IRS and did evaluate Bench. 

Next step will talk to husband and see what they can do about daughters role."
"Cinderella's Cleaning Services","Cinderella's Cleaning Services - Bench Essential + 5 CU","25/07/2022","19/07/2022","","Uses App for Invoicing - High Maintenance & Sanitation
Estimates & Proposals 

Cleaning business
5 people who are 1099s who works for her
Finds it hard to find people to work for her


Allison had to file for file extension this year as she had to scramble and do everything by herself. She does not want to repeat the same mistakes and want to look at other options.

They've been sitting on a pile of receipts. They're a single business owner, single mom, and there's so many things on her plate. She just wants some peace of mind.

Allison wants to know how Bench can help her and give her that peace of mind. She does not want to worry about receipts anymore and filing tax extension."
"Rappahannock Cleaning Services","Rappahannock Cleaning Services - Bench","25/07/2022","20/07/2022","B2C Marketing","discovery call booked with mackeznie ford on july 21st at 5:15 PM EST

pricing/demo call today at 5:45 PM EST

essential for sure, hoping for premium as well."
"Simply Nova LLC","Simply Nova LLC - Bench Upgrade","25/07/2022","24/07/2022","High Potential Trials","Upgrading from Essential to Premium Bench. Adding $200/monthly to the ongoing Bench subscription."
"Southern Cadence Cuisine","Southern Cadence Cuisine - Bench Tax","25/07/2022","22/07/2022","B2C Marketing","One-time charge of $199 for S-Corp election via Bench."
"KIKO Enterprises INC DBA Blue Ocean","KIKO Enterprises INC DBA Blue Ocean - Bench Catch Up","20/07/2022","19/07/2022","","Hey Team,

Henry has requested to get 5 months of historic bookkeeping done (Jan-May). Bench offered him a 20% discount resulting in a $239/month charge.

Henry has requested to have the payment split into two:

Payment 1 - Today - $717.60
Payment 2 - July 29 - $478.40

Thanks in advance, 
Anton M.

For reference: MRR Calculation ? $(239.20X5)/12 = $99.67"
"Nox Moving LLC","Nox Moving LLC - bench catch up jan - april","20/07/2022","19/07/2022","High Potential Trials","Billing him 837.20 (Testing by SALES OPS)"
"Keystone Mission Solutions Corp","Keystone Mission Solutions Corp - Bench","19/07/2022","19/07/2022","","This is the other half of the deal split between ACQ/AM as the account moved over to the AM team before the Bench deal was closed.

$499/monthly + $717.60 split for CU. 

Ryan Salvador's deal: https://freshbooks.lightning.force.com/lightning/r/Opportunity/0065a000011Z4TVAA0/view?ws=%2Flightning%2Fr%2FAccount%2F0015a00002y5VnLAAU%2Fview"
"Keystone Mission Solutions Corp","Keystone Mission Solutions Corp  "" - Bench","18/07/2022","04/05/2022","FreshBooks Trialers","closing call scheduled for Monday July 18"
"Brunson's Septic Tanks & Lot Cleari","Brunson's Septic Tanks & Lot Cleari  - Bench","15/07/2022","05/07/2022","High Potential Trials","20k in expenses - no banks connected
account review 07/06"
"Clementine Designs","Clementine Designs - Bench","15/07/2022","13/07/2022","High Potential Trials","Frustrating re-capturing old invoices and etc.

Apply Mark-up and apply credits

expense issues with credit card payments

Expense mark up not being applied to all expenses within a project

Scheduled Bench - 7/14 @ 1pm EST"
"Digital Dinosaur Company","Digital Dinosaur Company  "" - Bench Essential 299","15/07/2022","12/07/2022","B2C Marketing","Spoke to EJ about his bookkeeping process has been doing it through FreshBooks with our platform. They are looking for a new process on their bookkeeping because they are planning on expanding. Their current bookkeeper is changing their roles within the company, has fallen back on a few bookkeeping months because of recent changes within the company. Wants to look at the option of Bench and what they can provide assistance with.

-----------

Client Name : EJ Alvarez
Date Closed : JULY 15, 2022, ESSENTIAL MONTHLY
Amount Billed : NOT BILLED YET
Catch up: Jan 2022 - May 2022
Trial Month: JUNE 2022
Due today - $1,734.20

$239.20/mo for 20% off for 6 months
$1495 for Jan 2022-May 2022 ($299/month)"
"Go Time Restrooms","Go Time Restrooms  "" - Bench Essential","14/07/2022","11/07/2022","B2C Marketing","Rob is going forward with Bench Essential. Would like to have his bookkeeping taken over. Anticipated merge with another company in the next few years. Would like to get an overview of financials starting now. Does bkk every quarter. No issue, but finds it tedious. Accountant files taxes

Financial walkthrough booked for July 14 at 10am EST"
"KIKO Enterprises INC DBA Blue Ocean","KIKO Enterprises INC DBA Blue Ocean  - Bench Essentials","11/07/2022","06/07/2022","B2C Marketing","Henry is in desperate need of a bookkeeper. He has 5 different accounts, 2 credit cards, PayPal, venmo and Zelle to keep track of, and frankly, FreshBooks just isn't cutting it for him.

We have a call scheduled with Michael Maher on Thursday Jul;y 7th at 1:30PM PST to talk about Bench and their solution for him"
"Fire Tech West LLC","Fire Tech West LLC  - Bench CU","07/07/2022","30/06/2022","FreshBooks Trialers","Bench BKK Catch Up to be charged 7/7 due to business cashflow needs
May BKK free
Jan-Apr CU 299/month x 4 = $1196 to be billed next month on Thursday

Pricing:
Bench Premium
$399/ month first 6 months with FB 20% off 6 discount
$499/month ongoing
May BKK free
Jan-Apr CU 299/month x 4 = $1196 to be billed next month on Thursday
Total due today: $399

Bench Essential- Prefers monthly option
Monthly: $299
$239.20/month with FB 20% off 6 month discount
May BKK free
Jan-Apr CU 299/month x 4 = $1196
Total due today: $1435.20

Closing call scheduled 6/30
Asked about CU to January
could upsell prem in a few weeks
Has an office manager to look at bookkeeping/admin

Bench Call 6/29
Says she is new to BKK and kind of an ""idiot"" on accounting
LLC ownership 51% Marcus (husband) 49% Shay
Wants affordable, easy to use
Checking, savings, CC. Some personal before accounts set up
no complaint on price
Wants to move forward- setting up trial
7 employees- all W2

new business - construction
Fire sprinkler - install and inspect
Started November
Tried QB online
Problems with automatic payments
Lost some money
Lied on payment times
Has some payroll needs
Doesn't like bookkeeping- may want to hire someone
On point community Credit union
Mostly check, may do some ACH
Husband is Partner in LLC- he is in the field, Shannon manages office
Bench call scheduled 6/29
Could go Plus/Prem/Select
30% off 3 currently in account"
"Old North Designs LLC","Old North Designs LLC  - Bench Essentials","07/07/2022","05/07/2022","B2C Marketing","Creating placeholer opp for first Bench account (signed up first business on Thursday potentially)

Closing call on Thursday at 11am."
"The Clean Bean, LLC","The Clean Bean, LLC  - Bench Essential + Historical","07/07/2022","05/07/2022","B2C Marketing","Bench Essential + Catch-up (5 months)
Bethany is looking for a Bookkeeping solution to make her life easier - currently working a full time job and running this side hustle with her daughter. She doesn't have time to do all the bookkeeping as well. Daughter is starting a family so she can't do it either. 
Was using QuickBooks previously - didn't love it, wasn't happy with their customer service 
Just switched Payroll from QB to Gusto as well 
Needs 5 months of catch up done
---
Total Plan: 
1495 for catch up
239.20 for first 6
1734.2 charged today
299 there after"
"Holocene Productions, LLC","Holocene Productions, LLC - Bench CU","06/07/2022","05/07/2022","B2C Marketing","8 X $239.20 = $1913.60 Charging July 5th, 2022."
"Total Choice Tech Solutions","Total Choice Tech Solutions  "" - Bench","06/07/2022","26/05/2022","Landing Page Form","Bench Premium, $499/month
Catch Up for 2018 at $199/month

Chris currently uses Bookkeeping Express and is not fully satisfied with the service and wants a bookkeeping solution that also provides tax planning & advisory.

06/30 - Waiting for payment to go through, all other Docs have been signed"
"Amanda Darosett Photography","Amanda Darosett Photography  "" - Bench Essential 299","30/06/2022","20/06/2022","B2C Marketing","Spoke to Amanda, she is an inbound bookkeeping lead. She does her bookkeeping and categorization on her own. She spends about 3-5 hours a week doing it manually. She does have a tax accountant that she works with also. Presented both plans to Amanda and mention that she has the option for catch up as well if needed. We schedule a Bench meeting call for Thursday, June 23 @ 5pm EST / 2:00pm PST with Jeff Law

---
First Bench call with Michael Maher and Amanda Hartwell Tuesday June 28, 2022. Amanda is interested in Catch Up from January 2021 - April 2021. Will review the yearly pricing tomorrow with her. 

---- 
Second call is scheduled for June 29 2022 with Michael Maher and Amanda Hartwell.

--- 
Bench offered: 
Bookkeeping Moving Forward (Freshbooks Discount Included)
A) Discounted One-Time Payment - $2,689.20 for the next 12 months ($224.10/m) *$540 Savings*
Historical Bookkeeping - $299/m
May 2022: $0 (free trial month)
January - April: $299 x 4 = $1196
20% discount: $239.20
Total Historical: $1196 - $239.20 = $956.80
Total: $956.80 + $2689.20 = $2152.80"
"Fire Tech West LLC","Fire Tech West LLC  - Plus + Bench","30/06/2022","28/06/2022","FreshBooks Trialers","Pricing:
Bench Premium
$399/ month first 6 months with FB 20% off 6 discount
$499/month ongoing
May BKK free
Jan-Apr CU 299/month x 4 = $1196 to be billed next month on Thursday
Total due today: $399

Bench Essential- Prefers monthly option
Monthly: $299
$239.20/month with FB 20% off 6 month discount
May BKK free
Jan-Apr CU 299/month x 4 = $1196
Total due today: $1435.20

Closing call scheduled 6/30
Asked about CU to January
could upsell prem in a few weeks
Has an office manager to look at bookkeeping/admin

Bench Call 6/29
Says she is new to BKK and kind of an ""idiot"" on accounting
LLC ownership 51% Marcus (husband) 49% Shay
Wants affordable, easy to use
Checking, savings, CC. Some personal before accounts set up
no complaint on price
Wants to move forward- setting up trial
7 employees- all W2

new business - construction
Fire sprinkler - install and inspect
Started November
Tried QB online
Problems with automatic payments
Lost some money
Lied on payment times
Has some payroll needs
Doesn't like bookkeeping- may want to hire someone
On point community Credit union
Mostly check, may do some ACH
Husband is Partner in LLC- he is in the field, Shannon manages office
Bench call scheduled 6/29
Could go Plus/Prem/Select
30% off 3 currently in account"
"FREE RANGE PARTNERS","FREE RANGE PARTNERS  - Bench Essential + 4 months of bookkeeping","30/06/2022","27/06/2022","B2C Marketing","- Scheduled Bench call for June 28th at 3:45pm Central
- Catchup for Jan, Feb March, April at 299$ = 1196. May free
June is 239.20 for essential
So total is $1,435.20"
"Professional's Choice Manriquez Col","Professional's Choice Manriquez Col  "" - Bench Essential","30/06/2022","10/06/2022","B2C Marketing","Jamie is interested in Bench Essential

Due Today: $239.20"
"Jesse's Lawn Care and Pressure Wash","Jesse's Lawn Care and Pressure Wash  "" - Bench Essential + pro 399","23/06/2022","15/06/2022","B2C Marketing","Spoke to Tim Carter who runs the business as well. Both him and Jesse do the accounting together by pen and paper style which is time consuming. Tim is qualified to do the taxes because he's an accountant also. However he was interested in Bench because it is time consuming and the pitch that I provided to take the time off their plates. Original meeting was scheduled for June 20th, 2022 @ 10am and something came up. New meeting is rescheduled for June 21, 2022 @ 11:30am EST

Account has been liked to Bench our next demo meeting is set for Thursday June 23, 2022 at 10:00AM EST w/ Mackenzie from Bench.

----
What was offered: 
Package ? USD Bench Monthly Essential + PRO Plan:
Due today: $319.20 (20% off) for the first 6 months
May 2022 = $0
20% off Bench Essential + PRO for the first 6 months as a FreshBooks customer."
"M&M Services LLC","M&M Services LLC  - Bench Opp","23/06/2022","22/06/2022","B2C Marketing","Client is looking for Bookkeeping assistance. Client is working with an accounting firm with variable cost. Client wants to minimize expenditure on Bookkeeping, and also wants better accuracy and savings from Bookkeeping.

Meeting booked for June 22. Meeting was positive, account created. Demo call booked for tomorrow.

Demo call done. Client has approved the service. Wants to sign up for monthly services for now. WIll explore taxes in next 2 weeks.

Final Services and cost : Monthly - $239.20/m for the first 6 months, then $299/m"
"Wizard Flooring","Wizard Flooring  - Bench Catch-up","23/06/2022","16/06/2022","High Potential Trials","adding Jan, Feb, March, April historical work"
"Dmr WoodWorks LLC,","Dmr WoodWorks LLC,  "" - Bench Premium","22/06/2022","10/06/2022","B2C Marketing","Kassie (Steve's daughter) is interested in Bench premium

Due today: $399.20 (June 2022) + $478.40 (1st installment of $239.20 x 4 months, Jan 2022 - Apr 2022) = $877
Due June 30th = 2nd installment, $478.40"
